complaint,sentiment,category
Severe flooding on Nehru Street road every time it rains. Pathetic!,2,Road Damage
Road damage near Gandhi Nagar hospital is causing problems for ambulances!,2,Traffic Light Issue
Road closure scheduled for Brigade Road bypass for bridge inspection.,1,Illegal Parking
Road diversion in effect near Nehru Street due to pipeline work.,1,Noise Pollution
Road closure scheduled for Old Airport Road bypass for bridge inspection.,1,Illegal Parking
Speed limit has been changed to 40 kmph near Gandhi Nagar.,1,Pothole
The road in Old Airport Road has been repaired. Excellent work by the municipality!,0,Road Damage
street lighting improved on old airport road road. feeling safer now.,0,Sign Missing/Damaged
Road sign missing near Nehru Street school zone. Children at risk!,2,Sign Missing/Damaged
Severe flooding on Old Airport Road road every time it rains. Pathetic!,2,Road Damage
No streetlights on Anna Salai road. Very unsafe at night!,2,Road Damage
Speed limit has been changed to 40 kmph near Anna Salai.,1,Other
Traffic light at Gandhi Nagar is broken for 2 weeks. Very dangerous!,2,Flooding
New traffic rules implemented at Linking Road junction from today.,1,Flooding
The road in Brigade Road is full of potholes. Government please fix!,2,Traffic Light Issue
Road sign missing near Brigade Road school zone. Children at risk!,2,Pothole
Traffic chaos at Connaught Place due to broken signal. Needs urgent fix!,2,Road Damage
Huge pothole on Rajiv Chowk road causing accidents. No action taken!,2,Pothole
the municipality has announced repairs for gandhi nagar road next week.,1,Road Damage
No streetlights on MG Road road. Very unsafe at night!,2,Flooding
The road in MG Road is full of potholes. Government please fix!,2,Flooding
Road sign missing near Gandhi Nagar school zone. Children at risk!,2,Sign Missing/Damaged
Road widening project at Rajiv Chowk is going well. Good job!,0,Sign Missing/Damaged
The road on Nehru Street is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
Road sign missing near Linking Road school zone. Children at risk!,2,Flooding
Traffic light at SV Road is broken for 2 weeks. Very dangerous!,2,Road Damage
Huge pothole on Old Airport Road road causing accidents. No action taken!,2,Road Damage
Road widening project at Old Airport Road is going well. Good job!,0,Sign Missing/Damaged
The new road markings on Brigade Road street are very clear.,0,Sign Missing/Damaged
Road damage near MG Road hospital is causing problems for ambulances!,2,Road Damage
Traffic chaos at SV Road due to broken signal. Needs urgent fix!,2,Pothole
The pothole on Rajiv Chowk road was fixed quickly. Thank you!,0,Other
the road in old airport road has been repaired. excellent work by the municipality!,0,Road Damage
The road in Anna Salai is full of potholes. Government please fix!,2,Road Damage
Road diversion in effect near Old Airport Road due to pipeline work.,1,Other
Traffic light at Rajiv Chowk is broken for 2 weeks. Very dangerous!,2,Pothole
The road in Old Airport Road is full of potholes. Government please fix!,2,Traffic Light Issue
Road sign missing near Connaught Place school zone. Children at risk!,2,Sign Missing/Damaged
Garbage dumped on SV Road road. Municipality is not cleaning!,2,Road Damage
Garbage dumped on SV Road road. Municipality is not cleaning!,2,Sign Missing/Damaged
Road diversion in effect near Rajiv Chowk due to pipeline work.,1,Other
Garbage dumped on Nehru Street road. Municipality is not cleaning!,2,Road Damage
Traffic lights at Anna Salai junction are working perfectly now. Great improvement!,0,Other
Huge pothole on Nehru Street road causing accidents. No action taken!,2,Traffic Light Issue
Speed limit has been changed to 40 kmph near Old Airport Road.,1,Sign Missing/Damaged
Traffic signal at Brigade Road is under maintenance.,1,Flooding
Road sign missing near Linking Road school zone. Children at risk!,2,Sign Missing/Damaged
Street lighting improved on MG Road road. Feeling safer now.,0,Traffic Light Issue
Road widening project at Connaught Place is going well. Good job!,0,Other
Traffic signal at Old Airport Road is under maintenance.,1,Other
Traffic light at Brigade Road is broken for 2 weeks. Very dangerous!,2,Traffic Light Issue
No streetlights on Rajiv Chowk road. Very unsafe at night!,2,Pothole
Garbage dumped on Nehru Street road. Municipality is not cleaning!,2,Traffic Light Issue
Garbage dumped on Old Airport Road road. Municipality is not cleaning!,2,Pothole
Traffic signal at Old Airport Road is under maintenance.,1,Traffic Light Issue
The pothole on Connaught Place road was fixed quickly. Thank you!,0,Sign Missing/Damaged
The road on MG Road is completely damaged. Immediate repair needed!,2,Road Damage
Speed limit has been changed to 40 kmph near Linking Road.,1,Pothole
garbage dumped on anna salai road. municipality is not cleaning!,2,Traffic Light Issue
Street lighting improved on Connaught Place road. Feeling safer now.,0,Road Damage
traffic light at connaught place is broken for 2 weeks. very dangerous!,2,Flooding
Road damage near Rajiv Chowk hospital is causing problems for ambulances!,2,Flooding
Huge pothole on Nehru Street road causing accidents. No action taken!,2,Traffic Light Issue
Speed limit has been changed to 40 kmph near Nehru Street.,1,Pothole
Traffic lights at Linking Road junction are working perfectly now. Great improvement!,0,Other
The road in Brigade Road has been repaired. Excellent work by the municipality!,0,Sign Missing/Damaged
Traffic chaos at Gandhi Nagar due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
Traffic chaos at Gandhi Nagar due to broken signal. Needs urgent fix!,2,Pothole
Road closure scheduled for Connaught Place bypass for bridge inspection.,1,Pothole
Huge pothole on Connaught Place road causing accidents. No action taken!,2,Road Damage
the municipality has announced repairs for brigade road road next week.,1,Illegal Parking
Road sign missing near Old Airport Road school zone. Children at risk!,2,Sign Missing/Damaged
Speed limit has been changed to 40 kmph near Nehru Street.,1,Pothole
Street lighting improved on Brigade Road road. Feeling safer now.,0,Traffic Light Issue
Garbage dumped on Anna Salai road. Municipality is not cleaning!,2,Pothole
The road on Gandhi Nagar is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
Traffic chaos at Connaught Place due to broken signal. Needs urgent fix!,2,Pothole
No streetlights on Anna Salai road. Very unsafe at night!,2,Flooding
Road widening project at MG Road is going well. Good job!,0,Other
Speed limit has been changed to 40 kmph near Connaught Place.,1,Sign Missing/Damaged
Street lighting improved on Old Airport Road road. Feeling safer now.,0,Sign Missing/Damaged
Traffic chaos at MG Road due to broken signal. Needs urgent fix!,2,Pothole
Severe flooding on Anna Salai road every time it rains. Pathetic!,2,Road Damage
Severe flooding on Anna Salai road every time it rains. Pathetic!,2,Road Damage
Traffic light at SV Road is broken for 2 weeks. Very dangerous!,2,Road Damage
Garbage dumped on Anna Salai road. Municipality is not cleaning!,2,Pothole
Street lighting improved on Old Airport Road road. Feeling safer now.,0,Other
Speed limit has been changed to 40 kmph near Anna Salai.,1,Noise Pollution
Huge pothole on Gandhi Nagar road causing accidents. No action taken!,2,Traffic Light Issue
Road sign missing near Gandhi Nagar school zone. Children at risk!,2,Sign Missing/Damaged
Traffic lights at Old Airport Road junction are working perfectly now. Great improvement!,0,Traffic Light Issue
Road closure scheduled for Old Airport Road bypass for bridge inspection.,1,Pothole
Garbage dumped on Nehru Street road. Municipality is not cleaning!,2,Road Damage
Traffic chaos at Rajiv Chowk due to broken signal. Needs urgent fix!,2,Traffic Light Issue
The road in Rajiv Chowk has been repaired. Excellent work by the municipality!,0,Sign Missing/Damaged
Road closure scheduled for Nehru Street bypass for bridge inspection.,1,Noise Pollution
The pothole on SV Road road was fixed quickly. Thank you!,0,Road Damage
Street lighting improved on Gandhi Nagar road. Feeling safer now.,0,Traffic Light Issue
New traffic rules implemented at Anna Salai junction from today.,1,Other
Traffic chaos at Gandhi Nagar due to broken signal. Needs urgent fix!,2,Road Damage
new traffic rules implemented at brigade road junction from today.,1,Traffic Light Issue
Traffic light at MG Road is broken for 2 weeks. Very dangerous!,2,Pothole
Road sign missing near Anna Salai school zone. Children at risk!,2,Pothole
Traffic lights at Linking Road junction are working perfectly now. Great improvement!,0,Traffic Light Issue
Road damage near Brigade Road hospital is causing problems for ambulances!,2,Sign Missing/Damaged
The road on Rajiv Chowk is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
Severe flooding on Gandhi Nagar road every time it rains. Pathetic!,2,Traffic Light Issue
Road damage near Nehru Street hospital is causing problems for ambulances!,2,Sign Missing/Damaged
Road sign missing near Gandhi Nagar school zone. Children at risk!,2,Sign Missing/Damaged
Road sign missing near SV Road school zone. Children at risk!,2,Sign Missing/Damaged
the road in old airport road is full of potholes. government please fix!,2,Pothole
Road damage near Brigade Road hospital is causing problems for ambulances!,2,Traffic Light Issue
Traffic lights at Gandhi Nagar junction are working perfectly now. Great improvement!,0,Traffic Light Issue
There is construction work happening on SV Road road.,1,Illegal Parking
The road in MG Road has been repaired. Excellent work by the municipality!,0,Other
There is construction work happening on Anna Salai road.,1,Other
Street lighting improved on Nehru Street road. Feeling safer now.,0,Traffic Light Issue
Traffic light at MG Road is broken for 2 weeks. Very dangerous!,2,Road Damage
No streetlights on Anna Salai road. Very unsafe at night!,2,Road Damage
Garbage dumped on Nehru Street road. Municipality is not cleaning!,2,Road Damage
Road sign missing near SV Road school zone. Children at risk!,2,Road Damage
Road damage near MG Road hospital is causing problems for ambulances!,2,Road Damage
Severe flooding on Connaught Place road every time it rains. Pathetic!,2,Flooding
Road widening project at Nehru Street is going well. Good job!,0,Sign Missing/Damaged
Road sign missing near Rajiv Chowk school zone. Children at risk!,2,Pothole
the road on old airport road is completely damaged. immediate repair needed!,2,Road Damage
Road widening project at MG Road is going well. Good job!,0,Sign Missing/Damaged
Road closure scheduled for Brigade Road bypass for bridge inspection.,1,Flooding
Traffic light at Gandhi Nagar is broken for 2 weeks. Very dangerous!,2,Road Damage
road closure scheduled for anna salai bypass for bridge inspection.,1,Noise Pollution
Street lighting improved on Brigade Road road. Feeling safer now.,0,Other
Traffic light at Anna Salai is broken for 2 weeks. Very dangerous!,2,Road Damage
the road on nehru street is completely damaged. immediate repair needed!,2,Sign Missing/Damaged
Road sign missing near Nehru Street school zone. Children at risk!,2,Road Damage
Severe flooding on Anna Salai road every time it rains. Pathetic!,2,Sign Missing/Damaged
Huge pothole on SV Road road causing accidents. No action taken!,2,Road Damage
The road on MG Road is completely damaged. Immediate repair needed!,2,Road Damage
Traffic light at SV Road is broken for 2 weeks. Very dangerous!,2,Traffic Light Issue
The road on Anna Salai is completely damaged. Immediate repair needed!,2,Pothole
Traffic chaos at Old Airport Road due to broken signal. Needs urgent fix!,2,Pothole
No streetlights on Linking Road road. Very unsafe at night!,2,Traffic Light Issue
Road diversion in effect near Old Airport Road due to pipeline work.,1,Noise Pollution
Severe flooding on Nehru Street road every time it rains. Pathetic!,2,Pothole
The road in MG Road has been repaired. Excellent work by the municipality!,0,Traffic Light Issue
Road closure scheduled for Nehru Street bypass for bridge inspection.,1,Flooding
Road damage near Linking Road hospital is causing problems for ambulances!,2,Traffic Light Issue
Road diversion in effect near SV Road due to pipeline work.,1,Pothole
The road on MG Road is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
Road closure scheduled for Anna Salai bypass for bridge inspection.,1,Illegal Parking
No streetlights on Gandhi Nagar road. Very unsafe at night!,2,Pothole
Traffic signal at Connaught Place is under maintenance.,1,Road Damage
Severe flooding on Connaught Place road every time it rains. Pathetic!,2,Traffic Light Issue
Road widening project at Nehru Street is going well. Good job!,0,Other
Traffic signal at Connaught Place is under maintenance.,1,Flooding
The road in Linking Road is full of potholes. Government please fix!,2,Traffic Light Issue
The road on Rajiv Chowk is completely damaged. Immediate repair needed!,2,Road Damage
Huge pothole on Connaught Place road causing accidents. No action taken!,2,Pothole
The road in Connaught Place is full of potholes. Government please fix!,2,Pothole
The road in Connaught Place has been repaired. Excellent work by the municipality!,0,Road Damage
Road sign missing near Gandhi Nagar school zone. Children at risk!,2,Pothole
the road in linking road is full of potholes. government please fix!,2,Flooding
There is construction work happening on Brigade Road road.,1,Pothole
The road in Brigade Road is full of potholes. Government please fix!,2,Sign Missing/Damaged
Garbage dumped on Rajiv Chowk road. Municipality is not cleaning!,2,Pothole
Severe flooding on SV Road road every time it rains. Pathetic!,2,Traffic Light Issue
Speed limit has been changed to 40 kmph near Linking Road.,1,Flooding
road diversion in effect near gandhi nagar due to pipeline work.,1,Traffic Light Issue
Huge pothole on Linking Road road causing accidents. No action taken!,2,Sign Missing/Damaged
The municipality has announced repairs for Nehru Street road next week.,1,Flooding
Traffic chaos at Old Airport Road due to broken signal. Needs urgent fix!,2,Traffic Light Issue
New traffic rules implemented at MG Road junction from today.,1,Traffic Light Issue
Appreciate the fast response to the complaint about Anna Salai road.,0,Road Damage
Road sign missing near Connaught Place school zone. Children at risk!,2,Road Damage
Huge pothole on Rajiv Chowk road causing accidents. No action taken!,2,Traffic Light Issue
Appreciate the fast response to the complaint about Old Airport Road road.,0,Traffic Light Issue
Road closure scheduled for Gandhi Nagar bypass for bridge inspection.,1,Noise Pollution
Road closure scheduled for Old Airport Road bypass for bridge inspection.,1,Other
The road in Linking Road is full of potholes. Government please fix!,2,Road Damage
the road on sv road is completely damaged. immediate repair needed!,2,Sign Missing/Damaged
The road in Old Airport Road is full of potholes. Government please fix!,2,Sign Missing/Damaged
The road on Nehru Street is completely damaged. Immediate repair needed!,2,Pothole
The pothole on Connaught Place road was fixed quickly. Thank you!,0,Traffic Light Issue
Road diversion in effect near SV Road due to pipeline work.,1,Illegal Parking
Road damage near Anna Salai hospital is causing problems for ambulances!,2,Sign Missing/Damaged
New traffic rules implemented at Rajiv Chowk junction from today.,1,Sign Missing/Damaged
Road damage near MG Road hospital is causing problems for ambulances!,2,Sign Missing/Damaged
The road in Anna Salai is full of potholes. Government please fix!,2,Traffic Light Issue
Road damage near Nehru Street hospital is causing problems for ambulances!,2,Pothole
The road on Rajiv Chowk is completely damaged. Immediate repair needed!,2,Flooding
Huge pothole on Gandhi Nagar road causing accidents. No action taken!,2,Sign Missing/Damaged
Traffic signal at Gandhi Nagar is under maintenance.,1,Pothole
Street lighting improved on Old Airport Road road. Feeling safer now.,0,Traffic Light Issue
There is construction work happening on MG Road road.,1,Noise Pollution
Road widening project at MG Road is going well. Good job!,0,Sign Missing/Damaged
The road on Linking Road is completely damaged. Immediate repair needed!,2,Road Damage
Traffic chaos at Rajiv Chowk due to broken signal. Needs urgent fix!,2,Road Damage
New road signs installed in Old Airport Road. Very helpful for drivers.,0,Road Damage
Traffic signal at Anna Salai is under maintenance.,1,Road Damage
the road on nehru street is completely damaged. immediate repair needed!,2,Road Damage
Traffic chaos at Brigade Road due to broken signal. Needs urgent fix!,2,Pothole
The new road markings on Old Airport Road street are very clear.,0,Road Damage
speed limit has been changed to 40 kmph near rajiv chowk.,1,Other
Road damage near MG Road hospital is causing problems for ambulances!,2,Road Damage
Traffic light at SV Road is broken for 2 weeks. Very dangerous!,2,Traffic Light Issue
traffic light at sv road is broken for 2 weeks. very dangerous!,2,Flooding
Road sign missing near Connaught Place school zone. Children at risk!,2,Traffic Light Issue
Road sign missing near Nehru Street school zone. Children at risk!,2,Road Damage
New traffic rules implemented at SV Road junction from today.,1,Illegal Parking
The road on Gandhi Nagar is completely damaged. Immediate repair needed!,2,Traffic Light Issue
Traffic chaos at Old Airport Road due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
Appreciate the fast response to the complaint about Old Airport Road road.,0,Sign Missing/Damaged
Road sign missing near MG Road school zone. Children at risk!,2,Traffic Light Issue
Severe flooding on Rajiv Chowk road every time it rains. Pathetic!,2,Flooding
Garbage dumped on Anna Salai road. Municipality is not cleaning!,2,Sign Missing/Damaged
The road on SV Road is completely damaged. Immediate repair needed!,2,Traffic Light Issue
There is construction work happening on Connaught Place road.,1,Sign Missing/Damaged
Road widening project at Anna Salai is going well. Good job!,0,Sign Missing/Damaged
The road on MG Road is completely damaged. Immediate repair needed!,2,Flooding
Traffic light at Gandhi Nagar is broken for 2 weeks. Very dangerous!,2,Road Damage
Traffic chaos at MG Road due to broken signal. Needs urgent fix!,2,Pothole
Appreciate the fast response to the complaint about Rajiv Chowk road.,0,Traffic Light Issue
Road diversion in effect near Nehru Street due to pipeline work.,1,Traffic Light Issue
Traffic lights at Connaught Place junction are working perfectly now. Great improvement!,0,Other
Road diversion in effect near Gandhi Nagar due to pipeline work.,1,Flooding
The road on Brigade Road is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
Road sign missing near Gandhi Nagar school zone. Children at risk!,2,Pothole
The pothole on Gandhi Nagar road was fixed quickly. Thank you!,0,Sign Missing/Damaged
Road closure scheduled for Old Airport Road bypass for bridge inspection.,1,Traffic Light Issue
the new road markings on old airport road street are very clear.,0,Sign Missing/Damaged
traffic light at gandhi nagar is broken for 2 weeks. very dangerous!,2,Flooding
Traffic lights at Old Airport Road junction are working perfectly now. Great improvement!,0,Other
The road in MG Road is full of potholes. Government please fix!,2,Traffic Light Issue
Severe flooding on Nehru Street road every time it rains. Pathetic!,2,Flooding
Garbage dumped on SV Road road. Municipality is not cleaning!,2,Traffic Light Issue
Traffic light at Connaught Place is broken for 2 weeks. Very dangerous!,2,Road Damage
New traffic rules implemented at MG Road junction from today.,1,Illegal Parking
Road widening project at MG Road is going well. Good job!,0,Traffic Light Issue
No streetlights on Rajiv Chowk road. Very unsafe at night!,2,Road Damage
New traffic rules implemented at SV Road junction from today.,1,Road Damage
Traffic chaos at Old Airport Road due to broken signal. Needs urgent fix!,2,Flooding
there is construction work happening on anna salai road.,1,Pothole
Huge pothole on MG Road road causing accidents. No action taken!,2,Road Damage
Road damage near Connaught Place hospital is causing problems for ambulances!,2,Flooding
road damage near anna salai hospital is causing problems for ambulances!,2,Flooding
Road sign missing near Linking Road school zone. Children at risk!,2,Sign Missing/Damaged
Appreciate the fast response to the complaint about Gandhi Nagar road.,0,Traffic Light Issue
The road in Connaught Place is full of potholes. Government please fix!,2,Pothole
Road widening project at Gandhi Nagar is going well. Good job!,0,Sign Missing/Damaged
Road sign missing near Anna Salai school zone. Children at risk!,2,Pothole
Traffic light at Brigade Road is broken for 2 weeks. Very dangerous!,2,Pothole
Huge pothole on Linking Road road causing accidents. No action taken!,2,Flooding
Traffic chaos at Linking Road due to broken signal. Needs urgent fix!,2,Flooding
Road diversion in effect near Gandhi Nagar due to pipeline work.,1,Road Damage
No streetlights on Gandhi Nagar road. Very unsafe at night!,2,Sign Missing/Damaged
traffic chaos at sv road due to broken signal. needs urgent fix!,2,Road Damage
Traffic chaos at Old Airport Road due to broken signal. Needs urgent fix!,2,Pothole
The road in SV Road is full of potholes. Government please fix!,2,Sign Missing/Damaged
Huge pothole on Brigade Road road causing accidents. No action taken!,2,Pothole
Severe flooding on MG Road road every time it rains. Pathetic!,2,Flooding
The road in Nehru Street is full of potholes. Government please fix!,2,Pothole
Street lighting improved on Gandhi Nagar road. Feeling safer now.,0,Sign Missing/Damaged
Road damage near Linking Road hospital is causing problems for ambulances!,2,Road Damage
The pothole on Brigade Road road was fixed quickly. Thank you!,0,Other
Road sign missing near Nehru Street school zone. Children at risk!,2,Road Damage
There is construction work happening on SV Road road.,1,Road Damage
Huge pothole on Linking Road road causing accidents. No action taken!,2,Flooding
the road in rajiv chowk has been repaired. excellent work by the municipality!,0,Sign Missing/Damaged
Huge pothole on MG Road road causing accidents. No action taken!,2,Road Damage
Traffic signal at Brigade Road is under maintenance.,1,Road Damage
Traffic signal at Brigade Road is under maintenance.,1,Traffic Light Issue
Traffic chaos at Anna Salai due to broken signal. Needs urgent fix!,2,Road Damage
New traffic rules implemented at SV Road junction from today.,1,Illegal Parking
Severe flooding on MG Road road every time it rains. Pathetic!,2,Traffic Light Issue
Traffic chaos at Gandhi Nagar due to broken signal. Needs urgent fix!,2,Traffic Light Issue
Road damage near Anna Salai hospital is causing problems for ambulances!,2,Sign Missing/Damaged
Road sign missing near Connaught Place school zone. Children at risk!,2,Flooding
Speed limit has been changed to 40 kmph near Brigade Road.,1,Illegal Parking
no streetlights on anna salai road. very unsafe at night!,2,Traffic Light Issue
Huge pothole on SV Road road causing accidents. No action taken!,2,Flooding
The road in Connaught Place is full of potholes. Government please fix!,2,Sign Missing/Damaged
Huge pothole on Linking Road road causing accidents. No action taken!,2,Flooding
The road on Linking Road is completely damaged. Immediate repair needed!,2,Road Damage
new road signs installed in sv road. very helpful for drivers.,0,Traffic Light Issue
Severe flooding on Gandhi Nagar road every time it rains. Pathetic!,2,Road Damage
Severe flooding on Brigade Road road every time it rains. Pathetic!,2,Pothole
Huge pothole on Linking Road road causing accidents. No action taken!,2,Sign Missing/Damaged
The road on Gandhi Nagar is completely damaged. Immediate repair needed!,2,Traffic Light Issue
Traffic light at Linking Road is broken for 2 weeks. Very dangerous!,2,Flooding
The municipality has announced repairs for MG Road road next week.,1,Illegal Parking
Traffic light at SV Road is broken for 2 weeks. Very dangerous!,2,Traffic Light Issue
Traffic light at SV Road is broken for 2 weeks. Very dangerous!,2,Flooding
speed limit has been changed to 40 kmph near nehru street.,1,Road Damage
appreciate the fast response to the complaint about connaught place road.,0,Other
The pothole on Rajiv Chowk road was fixed quickly. Thank you!,0,Traffic Light Issue
No streetlights on Gandhi Nagar road. Very unsafe at night!,2,Sign Missing/Damaged
No streetlights on Gandhi Nagar road. Very unsafe at night!,2,Traffic Light Issue
Traffic lights at Brigade Road junction are working perfectly now. Great improvement!,0,Other
Street lighting improved on Rajiv Chowk road. Feeling safer now.,0,Road Damage
New road signs installed in Connaught Place. Very helpful for drivers.,0,Road Damage
The road in Linking Road is full of potholes. Government please fix!,2,Sign Missing/Damaged
Road closure scheduled for Anna Salai bypass for bridge inspection.,1,Illegal Parking
Road damage near Brigade Road hospital is causing problems for ambulances!,2,Sign Missing/Damaged
Traffic light at Linking Road is broken for 2 weeks. Very dangerous!,2,Pothole
Traffic lights at Anna Salai junction are working perfectly now. Great improvement!,0,Road Damage
Traffic chaos at Nehru Street due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
Traffic chaos at Rajiv Chowk due to broken signal. Needs urgent fix!,2,Flooding
No streetlights on Linking Road road. Very unsafe at night!,2,Traffic Light Issue
Huge pothole on MG Road road causing accidents. No action taken!,2,Traffic Light Issue
The road in Rajiv Chowk is full of potholes. Government please fix!,2,Road Damage
No streetlights on Brigade Road road. Very unsafe at night!,2,Pothole
Garbage dumped on Brigade Road road. Municipality is not cleaning!,2,Pothole
Road closure scheduled for Linking Road bypass for bridge inspection.,1,Illegal Parking
The road on Gandhi Nagar is completely damaged. Immediate repair needed!,2,Traffic Light Issue
Traffic signal at Nehru Street is under maintenance.,1,Sign Missing/Damaged
New traffic rules implemented at Rajiv Chowk junction from today.,1,Noise Pollution
Street lighting improved on MG Road road. Feeling safer now.,0,Sign Missing/Damaged
Severe flooding on Gandhi Nagar road every time it rains. Pathetic!,2,Sign Missing/Damaged
Garbage dumped on Brigade Road road. Municipality is not cleaning!,2,Road Damage
The road on Anna Salai is completely damaged. Immediate repair needed!,2,Road Damage
the road on anna salai is completely damaged. immediate repair needed!,2,Flooding
The road on Anna Salai is completely damaged. Immediate repair needed!,2,Pothole
Traffic light at Gandhi Nagar is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
The municipality has announced repairs for SV Road road next week.,1,Road Damage
Appreciate the fast response to the complaint about Nehru Street road.,0,Traffic Light Issue
Severe flooding on Brigade Road road every time it rains. Pathetic!,2,Road Damage
garbage dumped on brigade road road. municipality is not cleaning!,2,Flooding
The road in Brigade Road is full of potholes. Government please fix!,2,Pothole
The road in Old Airport Road has been repaired. Excellent work by the municipality!,0,Sign Missing/Damaged
Traffic signal at Gandhi Nagar is under maintenance.,1,Traffic Light Issue
Road diversion in effect near SV Road due to pipeline work.,1,Sign Missing/Damaged
Speed limit has been changed to 40 kmph near Old Airport Road.,1,Other
Traffic signal at Old Airport Road is under maintenance.,1,Traffic Light Issue
Road diversion in effect near Anna Salai due to pipeline work.,1,Noise Pollution
Huge pothole on Anna Salai road causing accidents. No action taken!,2,Sign Missing/Damaged
New traffic rules implemented at Rajiv Chowk junction from today.,1,Traffic Light Issue
The road in Brigade Road is full of potholes. Government please fix!,2,Traffic Light Issue
New traffic rules implemented at Gandhi Nagar junction from today.,1,Other
The municipality has announced repairs for Brigade Road road next week.,1,Flooding
Traffic chaos at Rajiv Chowk due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
The road on Old Airport Road is completely damaged. Immediate repair needed!,2,Traffic Light Issue
Traffic light at MG Road is broken for 2 weeks. Very dangerous!,2,Flooding
Road damage near Connaught Place hospital is causing problems for ambulances!,2,Traffic Light Issue
The road in MG Road has been repaired. Excellent work by the municipality!,0,Other
The road in Nehru Street is full of potholes. Government please fix!,2,Road Damage
Road sign missing near Rajiv Chowk school zone. Children at risk!,2,Traffic Light Issue
severe flooding on anna salai road every time it rains. pathetic!,2,Road Damage
Road damage near Connaught Place hospital is causing problems for ambulances!,2,Road Damage
Road damage near Rajiv Chowk hospital is causing problems for ambulances!,2,Pothole
There is construction work happening on MG Road road.,1,Other
No streetlights on Old Airport Road road. Very unsafe at night!,2,Traffic Light Issue
Garbage dumped on Connaught Place road. Municipality is not cleaning!,2,Traffic Light Issue
Garbage dumped on Connaught Place road. Municipality is not cleaning!,2,Sign Missing/Damaged
Street lighting improved on Nehru Street road. Feeling safer now.,0,Road Damage
New road signs installed in Old Airport Road. Very helpful for drivers.,0,Traffic Light Issue
Appreciate the fast response to the complaint about Gandhi Nagar road.,0,Sign Missing/Damaged
Traffic chaos at MG Road due to broken signal. Needs urgent fix!,2,Road Damage
Severe flooding on Rajiv Chowk road every time it rains. Pathetic!,2,Flooding
Garbage dumped on Nehru Street road. Municipality is not cleaning!,2,Flooding
Road damage near Rajiv Chowk hospital is causing problems for ambulances!,2,Flooding
Huge pothole on Gandhi Nagar road causing accidents. No action taken!,2,Pothole
The municipality has announced repairs for Brigade Road road next week.,1,Noise Pollution
traffic lights at anna salai junction are working perfectly now. great improvement!,0,Sign Missing/Damaged
No streetlights on SV Road road. Very unsafe at night!,2,Sign Missing/Damaged
road closure scheduled for linking road bypass for bridge inspection.,1,Sign Missing/Damaged
Road sign missing near MG Road school zone. Children at risk!,2,Traffic Light Issue
Huge pothole on Linking Road road causing accidents. No action taken!,2,Pothole
Road diversion in effect near Connaught Place due to pipeline work.,1,Other
Traffic light at Nehru Street is broken for 2 weeks. Very dangerous!,2,Pothole
road closure scheduled for linking road bypass for bridge inspection.,1,Illegal Parking
Garbage dumped on Brigade Road road. Municipality is not cleaning!,2,Road Damage
Huge pothole on Brigade Road road causing accidents. No action taken!,2,Pothole
street lighting improved on mg road road. feeling safer now.,0,Traffic Light Issue
Severe flooding on MG Road road every time it rains. Pathetic!,2,Traffic Light Issue
Traffic chaos at Rajiv Chowk due to broken signal. Needs urgent fix!,2,Traffic Light Issue
Traffic light at MG Road is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
Road closure scheduled for Connaught Place bypass for bridge inspection.,1,Pothole
severe flooding on gandhi nagar road every time it rains. pathetic!,2,Road Damage
The municipality has announced repairs for MG Road road next week.,1,Traffic Light Issue
Traffic lights at MG Road junction are working perfectly now. Great improvement!,0,Traffic Light Issue
Garbage dumped on Rajiv Chowk road. Municipality is not cleaning!,2,Pothole
Traffic chaos at Old Airport Road due to broken signal. Needs urgent fix!,2,Traffic Light Issue
There is construction work happening on Nehru Street road.,1,Other
The road in Connaught Place is full of potholes. Government please fix!,2,Pothole
New traffic rules implemented at Nehru Street junction from today.,1,Flooding
Road sign missing near Brigade Road school zone. Children at risk!,2,Pothole
Road sign missing near MG Road school zone. Children at risk!,2,Traffic Light Issue
Road damage near SV Road hospital is causing problems for ambulances!,2,Traffic Light Issue
Traffic chaos at Brigade Road due to broken signal. Needs urgent fix!,2,Pothole
garbage dumped on anna salai road. municipality is not cleaning!,2,Traffic Light Issue
Traffic light at Nehru Street is broken for 2 weeks. Very dangerous!,2,Pothole
There is construction work happening on Rajiv Chowk road.,1,Other
Traffic chaos at Connaught Place due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
the road in old airport road has been repaired. excellent work by the municipality!,0,Road Damage
The road in Anna Salai is full of potholes. Government please fix!,2,Flooding
Severe flooding on Rajiv Chowk road every time it rains. Pathetic!,2,Traffic Light Issue
Garbage dumped on Rajiv Chowk road. Municipality is not cleaning!,2,Pothole
The road in Old Airport Road is full of potholes. Government please fix!,2,Road Damage
